Attackers,Defenders,AttackerWinPercentage,Outcomes
21,17,82.0165,8 0 7.0887 10 0 6.8812 9 0 6.8227 7 0 6.6644 6 0 6.6121 11 0 6.1655 5 0 5.7626 12 0 5.6946 4 0 5.5553 13 0 4.761 3 0 4.6311 14 0 3.8669 0 2 3.5602 15 0 2.908 0 3 2.8635 2 0 2.8345 0 4 2.5984 16 0 2.0174 0 5 1.949 0 1 1.9291 0 6 1.6506 1 0 1.362 17 0 1.2541 0 7 1.1283 0 8 0.8845 18 0 0.676 0 9 0.5794 0 10 0.3988 19 0 0.3286 0 11 0.2222 0 12 0.1248 20 0 0.1036 0 13 0.0555 0 14 0.0274 21 0 0.0241 0 15 0.0073 0 16 0.0026 0 17 0.0002 
21,16,85.8482,9 0 7.387 11 0 7.0677 10 0 7.0444 8 0 6.9007 7 0 6.8112 12 0 6.3158 6 0 5.9845 5 0 5.6839 13 0 5.6776 4 0 4.7652 14 0 4.6318 3 0 4.3655 15 0 3.6008 0 2 2.8779 0 3 2.5955 16 0 2.5818 2 0 2.5299 0 4 1.9584 17 0 1.6807 0 5 1.6563 0 1 1.6262 1 0 1.1833 0 6 1.1619 18 0 0.9736 0 7 0.8855 0 8 0.5645 19 0 0.4499 0 9 0.3903 0 10 0.2072 20 0 0.1734 0 11 0.1268 0 12 0.0567 21 0 0.0374 0 13 0.0301 0 14 0.0095 0 15 0.003 0 16 0.0004 
21,15,88.9136,10 0 7.6879 11 0 7.2792 8 0 7.1583 9 0 7.1556 12 0 7.1541 13 0 6.3571 7 0 6.2282 6 0 5.8731 14 0 5.5912 5 0 4.8719 4 0 4.4789 15 0 4.4428 3 0 3.5541 16 0 3.3264 0 2 2.6022 17 0 2.2589 2 0 2.1384 0 3 1.9701 0 4 1.6298 0 1 1.4403 18 0 1.3219 0 5 1.1717 1 0 1.03 0 6 0.8934 19 0 0.6902 0 7 0.5565 0 8 0.3928 20 0 0.2504 0 9 0.2109 0 10 0.1246 21 0 0.0629 0 11 0.0552 0 12 0.028 0 13 0.0074 0 14 0.0019 0 15 0.0001 
21,14,91.7896,11 0 7.9793 12 0 7.5806 10 0 7.481 9 0 7.4139 13 0 7.3261 8 0 6.4533 14 0 6.3823 7 0 6.1213 15 0 5.4369 6 0 5.0958 5 0 4.592 16 0 4.1894 4 0 3.5949 3 0 3.1909 17 0 2.9954 0 2 1.9749 18 0 1.8669 2 0 1.8083 0 3 1.6544 0 1 1.1508 0 4 1.128 19 0 0.9532 0 5 0.9035 1 0 0.8258 0 6 0.5599 20 0 0.4037 0 7 0.3966 0 8 0.2206 0 9 0.1253 21 0 0.0965 0 10 0.06 0 11 0.025 0 12 0.0075 0 13 0.0021 0 14 0.0004 
21,13,94.0039,12 0 8.3257 11 0 7.8534 13 0 7.7965 10 0 7.7793 14 0 7.4756 9 0 6.7764 8 0 6.4485 15 0 6.3489 16 0 5.241 7 0 5.2025 6 0 4.7471 17 0 3.8581 5 0 3.7166 4 0 3.2099 18 0 2.5236 3 0 2.4069 0 2 1.6458 19 0 1.4332 2 0 1.419 0 3 1.1406 0 1 0.9338 0 4 0.9008 1 0 0.6601 20 0 0.6057 0 5 0.5652 0 6 0.3841 0 7 0.2123 21 0 0.1738 0 8 0.1238 0 9 0.0502 0 10 0.0276 0 11 0.0089 0 12 0.0016 0 13 0.0001 
21,12,95.8404,13 0 8.7337 11 0 8.2232 12 0 8.1814 14 0 8.0452 15 0 7.6262 10 0 7.0857 9 0 6.6366 16 0 6.2645 8 0 5.458 17 0 5.0068 7 0 4.8616 6 0 3.7814 18 0 3.4252 5 0 3.2997 4 0 2.4081 3 0 2.0189 19 0 1.9767 0 2 1.1643 2 0 1.0973 20 0 0.955 0 3 0.9016 0 1 0.7014 0 4 0.564 1 0 0.4953 0 5 0.3867 21 0 0.2578 0 6 0.2178 0 7 0.1256 0 8 0.0577 0 9 0.0277 0 10 0.0087 0 11 0.0023 0 12 0.0006 
21,11,97.2071,14 0 9.1171 12 0 8.7276 13 0 8.6721 15 0 8.3748 16 0 7.6605 11 0 7.466 10 0 7.0199 17 0 6.1894 9 0 5.6404 8 0 5.0216 18 0 4.5118 7 0 3.8346 6 0 3.2901 19 0 2.8661 5 0 2.4006 4 0 2.0045 3 0 1.4252 20 0 1.3381 0 2 0.8846 2 0 0.7855 0 3 0.5638 0 1 0.5168 21 0 0.4833 0 4 0.3892 1 0 0.3758 0 5 0.2141 0 6 0.1278 0 7 0.0572 0 8 0.0272 0 9 0.0074 0 10 0.0033 0 11 0.0004 
21,10,98.2598,15 0 9.5445 14 0 9.2543 13 0 9.1863 16 0 8.7668 12 0 7.9376 17 0 7.6295 11 0 7.4352 10 0 5.887 18 0 5.856 9 0 5.2477 19 0 3.9075 8 0 3.9019 7 0 3.3098 6 0 2.3569 20 0 2.1189 5 0 1.9592 4 0 1.3574 3 0 1.0841 21 0 0.7067 0 2 0.559 2 0 0.5542 0 3 0.3944 0 1 0.3573 1 0 0.2562 0 4 0.212 0 5 0.1269 0 6 0.0546 0 7 0.0244 0 8 0.008 0 9 0.0024 0 10 0.0002 
21,9,98.9544,16 0 10.0866 15 0 9.8992 14 0 9.8306 17 0 9.0509 13 0 8.501 12 0 7.8059 18 0 7.5725 11 0 6.1276 19 0 5.3861 10 0 5.3461 9 0 3.9494 8 0 3.3259 20 0 2.9903 7 0 2.3614 6 0 1.924 5 0 1.2895 21 0 1.2609 4 0 1.0292 3 0 0.6668 0 2 0.3784 2 0 0.3748 0 1 0.2337 0 3 0.2108 1 0 0.1736 0 4 0.1258 0 5 0.0582 0 6 0.0263 0 7 0.0087 0 8 0.0026 0 9 0.0002 
21,8,99.4238,17 0 10.7821 15 0 10.6269 16 0 10.6171 18 0 9.3036 14 0 9.0963 13 0 8.3195 19 0 7.225 12 0 6.4189 11 0 5.5466 20 0 4.554 10 0 4.0375 9 0 3.3177 8 0 2.2867 21 0 1.9159 7 0 1.8394 6 0 1.201 5 0 0.9304 4 0 0.6169 3 0 0.4626 2 0 0.2293 0 2 0.2169 0 1 0.1329 0 3 0.1285 1 0 0.0943 0 4 0.0611 0 5 0.0246 0 6 0.0087 0 7 0.0024 0 8 0.0003 
21,7,99.6992,16 0 11.6265 17 0 11.5723 18 0 11.3769 15 0 9.8309 19 0 9.5191 14 0 8.9238 13 0 6.7131 20 0 6.345 12 0 5.7457 11 0 4.0642 21 0 3.4039 10 0 3.3159 9 0 2.2212 8 0 1.7238 7 0 1.1097 6 0 0.8535 5 0 0.5331 4 0 0.3892 3 0 0.2447 2 0 0.1262 0 2 0.1238 0 1 0.0791 0 3 0.0594 1 0 0.0584 0 4 0.0259 0 5 0.0089 0 6 0.0028 0 7 0.0002 
21,6,99.871,17 0 12.9305 18 0 12.7978 19 0 12.373 16 0 10.8128 15 0 9.6403 20 0 9.189 14 0 7.1283 13 0 5.9685 21 0 5.1055 12 0 4.0973 11 0 3.2306 10 0 2.0714 9 0 1.5964 8 0 0.9956 7 0 0.733 6 0 0.4526 5 0 0.3236 4 0 0.1948 3 0 0.1389 2 0 0.0619 0 2 0.0545 0 1 0.038 1 0 0.0271 0 3 0.0265 0 4 0.0069 0 5 0.0024 0 6 0.0001 
21,5,99.9489,19 0 14.6625 18 0 14.594 20 0 12.3251 17 0 12.1628 16 0 10.5048 21 0 9.0907 15 0 7.5848 14 0 6.125 13 0 4.0304 12 0 3.0916 11 0 1.9052 10 0 1.4179 9 0 0.8604 8 0 0.626 7 0 0.3612 6 0 0.2556 5 0 0.1492 4 0 0.1013 3 0 0.0525 2 0 0.0326 0 2 0.0249 0 1 0.016 1 0 0.0132 0 3 0.0076 0 4 0.0017 0 5 0.0004 
21,4,99.981,19 0 17.8816 20 0 16.459 18 0 14.0035 21 0 13.8191 17 0 11.9801 16 0 8.0302 15 0 6.3072 14 0 3.8989 13 0 2.8557 12 0 1.6802 11 0 1.2054 10 0 0.6904 9 0 0.4817 8 0 0.2581 7 0 0.1789 6 0 0.1014 5 0 0.0695 4 0 0.0343 3 0 0.0265 2 0 0.0123 0 2 0.0083 0 1 0.008 1 0 0.0049 0 3 0.0021 0 4 0.0002 
21,3,99.9968,21 0 24.5685 20 0 20.8594 19 0 17.3467 18 0 13.2522 17 0 8.4923 16 0 6.0842 15 0 3.4844 14 0 2.4476 13 0 1.3572 12 0 0.8826 11 0 0.48 10 0 0.3243 9 0 0.1676 8 0 0.1126 7 0 0.0551 6 0 0.0392 5 0 0.0204 4 0 0.011 3 0 0.0061 2 0 0.0028 0 2 0.0018 0 1 0.0011 1 0 0.0005 0 3 0 
21,2,99.9997,21 0 37.0422 20 0 22.1934 19 0 18.5082 18 0 9.0378 17 0 6.2401 16 0 2.9614 15 0 1.9459 14 0 0.9031 13 0 0.565 12 0 0.2568 11 0 0.17 10 0 0.073 9 0 0.0514 8 0 0.0237 7 0 0.0121 6 0 0.007 5 0 0.0025 4 0 0.0019 3 0 0.001 2 0 0.0007 1 0 0.0004 0 1 0.0001 0 2 0 
21,1,100,21 0 66.0078 20 0 22.4145 19 0 7.6254 18 0 2.6238 17 0 0.886 16 0 0.2903 15 0 0.1009 14 0 0.034 13 0 0.0104 12 0 0.0035 11 0 0.0016 10 0 0.0003 9 0 0.0001 8 0 0 
20,25,38.3069,3 0 5.4647 0 5 5.3632 0 3 5.2169 0 7 5.1536 4 0 4.9395 0 4 4.9299 0 6 4.92 0 2 4.6663 5 0 4.6341 0 8 4.5928 0 9 4.5423 6 0 4.006 0 10 3.8636 0 11 3.6679 2 0 3.6367 7 0 3.5573 0 12 2.9223 8 0 2.8741 0 13 2.6147 0 1 2.5071 9 0 2.3119 0 14 1.9498 1 0 1.7964 10 0 1.7411 0 15 1.6366 11 0 1.2766 0 16 1.1223 12 0 0.8662 0 17 0.8416 13 0 0.5546 0 18 0.5215 0 19 0.3339 14 0 0.3287 15 0 0.1772 0 20 0.1745 0 21 0.0932 16 0 0.0917 0 22 0.0358 17 0 0.0347 0 23 0.0162 18 0 0.0109 0 24 0.0042 19 0 0.0021 20 0 0.0004 0 25 0.0004 
20,24,42.8612,3 0 5.5752 4 0 5.5364 0 4 5.3421 0 2 5.2301 0 6 5.1113 5 0 4.9664 0 3 4.9496 0 5 4.9174 6 0 4.644 0 7 4.575 0 8 4.5557 7 0 3.9396 0 9 3.8869 2 0 3.6738 0 10 3.6604 8 0 3.4199 0 11 2.9225 9 0 2.734 0 1 2.6162 0 12 2.6096 10 0 2.1528 0 13 1.9436 1 0 1.8606 0 14 1.6601 11 0 1.5764 12 0 1.1342 0 15 1.1116 0 16 0.8432 13 0 0.7386 0 17 0.5174 14 0 0.449 0 18 0.3472 15 0 0.2561 0 19 0.1798 16 0 0.1242 0 20 0.0952 17 0 0.0556 0 21 0.0402 18 0 0.0178 0 22 0.0163 0 23 0.0048 19 0 0.0043 20 0 0.0003 0 24 0.0002 
20,23,48.1782,3 0 6.08 4 0 5.6894 5 0 5.6097 0 3 5.3402 0 5 5.1078 6 0 4.9699 0 2 4.9419 0 4 4.9375 7 0 4.6538 0 6 4.5451 0 7 4.5323 2 0 3.9346 8 0 3.8901 0 8 3.8129 0 9 3.6593 9 0 3.2789 0 10 2.9178 0 1 2.6632 0 11 2.6278 10 0 2.5734 11 0 1.9981 0 12 1.947 1 0 1.8827 0 13 1.6416 12 0 1.4099 0 14 1.1164 13 0 0.9731 0 15 0.8427 14 0 0.6052 0 16 0.5059 0 17 0.347 15 0 0.3429 0 18 0.1791 16 0 0.1754 0 19 0.0967 17 0 0.0752 0 20 0.0393 18 0 0.0255 0 21 0.0146 19 0 0.0077 0 22 0.0031 20 0 0.0007 0 23 0.0003 
20,22,53.0115,4 0 6.1689 3 0 5.9711 5 0 5.8018 6 0 5.6257 0 2 5.3398 0 4 5.1294 7 0 4.9712 0 3 4.911 0 6 4.5733 8 0 4.5685 0 5 4.5228 2 0 3.8835 0 7 3.8373 9 0 3.7725 0 8 3.6898 10 0 3.153 0 9 2.9309 0 1 2.7216 0 10 2.6057 11 0 2.4121 1 0 1.9592 0 11 1.9286 12 0 1.7959 0 12 1.6281 13 0 1.2535 0 13 1.1237 0 14 0.8454 14 0 0.7923 0 15 0.5191 15 0 0.4751 0 16 0.3414 16 0 0.2373 0 17 0.1822 17 0 0.1124 0 18 0.0939 0 19 0.0414 18 0 0.0414 0 20 0.0158 19 0 0.0121 0 21 0.0049 20 0 0.002 0 22 0.0002 
20,21,58.4688,3 0 6.3099 5 0 6.2822 4 0 6.078 6 0 5.8756 7 0 5.6797 0 3 5.1171 8 0 5.0287 0 2 4.9125 0 5 4.5416 0 4 4.5101 9 0 4.4801 2 0 4.0121 0 6 3.8372 0 7 3.6772 10 0 3.6449 11 0 2.9705 0 8 2.9272 0 1 2.6755 0 9 2.6254 12 0 2.2566 0 10 1.9541 1 0 1.9313 0 11 1.6224 13 0 1.5898 0 12 1.1072 14 0 1.0676 0 13 0.8402 15 0 0.6466 0 14 0.5103 16 0 0.3594 0 15 0.3398 0 16 0.1753 17 0 0.1642 0 17 0.0975 18 0 0.0667 0 18 0.0391 19 0 0.0189 0 19 0.0158 20 0 0.004 0 20 0.0032 0 21 0.0004 
20,20,63.4132,4 0 6.5066 6 0 6.4452 5 0 6.2566 7 0 5.9841 3 0 5.9745 8 0 5.6938 0 2 5.1386 9 0 4.9242 0 4 4.5509 0 3 4.5497 10 0 4.393 0 5 3.8441 2 0 3.8182 0 6 3.6281 11 0 3.5834 0 7 2.9186 12 0 2.7702 0 1 2.6538 0 8 2.624 13 0 2.0403 1 0 1.9237 0 9 1.9054 0 10 1.6357 14 0 1.3877 0 11 1.1141 15 0 0.8567 0 12 0.8566 0 13 0.4951 16 0 0.4838 0 14 0.3386 17 0 0.2418 0 15 0.1744 0 16 0.0969 18 0 0.0943 0 17 0.0399 19 0 0.0287 0 18 0.0159 20 0 0.0044 0 19 0.0038 0 20 0.0006 
20,19,68.5773,5 0 6.6973 7 0 6.6116 6 0 6.4204 4 0 6.1876 3 0 6.1238 8 0 6.0306 9 0 5.7235 10 0 4.9475 0 3 4.5555 0 2 4.5423 11 0 4.2526 0 4 3.8466 2 0 3.8169 0 5 3.6576 12 0 3.3016 0 6 2.9179 0 7 2.6434 13 0 2.5327 0 1 2.505 0 8 1.9463 14 0 1.7844 1 0 1.7762 0 9 1.6541 15 0 1.1482 0 10 1.1184 0 11 0.8409 16 0 0.6934 0 12 0.5214 0 13 0.3347 17 0 0.3334 0 14 0.1849 18 0 0.1399 0 15 0.0934 19 0 0.0435 0 16 0.037 0 17 0.0165 20 0 0.0102 0 18 0.0041 0 19 0.0008 
20,18,73.2733,6 0 6.8948 8 0 6.7635 7 0 6.6829 5 0 6.3745 4 0 6.343 9 0 6.1716 10 0 5.7524 3 0 5.5866 11 0 4.8327 0 2 4.5372 12 0 4.0395 0 3 3.8122 0 4 3.6608 2 0 3.472 13 0 3.1621 0 5 2.9265 0 6 2.5992 0 1 2.4208 14 0 2.2858 0 7 1.9768 1 0 1.7039 0 8 1.6249 15 0 1.5242 0 9 1.1257 16 0 0.9049 0 10 0.8461 0 11 0.5201 17 0 0.4826 0 12 0.3354 18 0 0.2088 0 13 0.1797 0 14 0.0997 19 0 0.071 0 15 0.0382 0 16 0.0177 20 0 0.0145 0 17 0.0032 0 18 0.0007 
20,17,78.0074,7 0 7.1418 9 0 6.9093 8 0 6.8669 6 0 6.6536 5 0 6.5682 10 0 6.2166 4 0 5.7035 11 0 5.6784 3 0 5.513 12 0 4.7259 0 2 3.8774 13 0 3.867 0 3 3.6339 2 0 3.2698 0 4 2.9286 14 0 2.9168 0 5 2.6332 0 1 2.1823 15 0 2.008 0 6 1.9519 0 7 1.6185 1 0 1.5642 16 0 1.268 0 8 1.1152 0 9 0.8475 17 0 0.6818 0 10 0.5137 0 11 0.3389 18 0 0.3237 0 12 0.1861 19 0 0.1042 0 13 0.1015 0 14 0.0428 20 0 0.0247 0 15 0.015 0 16 0.0037 0 17 0.0007 
20,16,82.1757,8 0 7.4515 9 0 7.1092 10 0 7.0668 7 0 6.907 6 0 6.8122 11 0 6.2609 5 0 5.9673 4 0 5.679 12 0 5.6557 3 0 4.7101 13 0 4.665 0 2 3.6571 14 0 3.6447 2 0 2.9245 0 3 2.9208 0 4 2.5979 15 0 2.5895 0 1 1.955 0 5 1.9513 16 0 1.6844 0 6 1.615 1 0 1.4153 0 7 1.0998 17 0 0.971 0 8 0.8462 0 9 0.5028 18 0 0.4528 0 10 0.3385 0 11 0.1842 19 0 0.1738 0 12 0.0967 0 13 0.0383 20 0 0.033 0 14 0.0153 0 15 0.0031 0 16 0.0007 
20,15,86.0888,9 0 7.68 10 0 7.3052 11 0 7.2241 7 0 7.1782 8 0 7.1592 12 0 6.3055 6 0 6.1872 5 0 5.8833 13 0 5.5562 4 0 4.9268 14 0 4.4627 3 0 4.4616 15 0 3.3351 0 2 2.9155 0 3 2.6223 2 0 2.5911 16 0 2.2771 0 4 1.9636 0 1 1.6658 0 5 1.6312 17 0 1.3454 1 0 1.2078 0 6 1.1049 0 7 0.8375 18 0 0.6863 0 8 0.4978 0 9 0.3414 19 0 0.2501 0 10 0.1761 0 11 0.0936 20 0 0.0639 0 12 0.0377 0 13 0.0173 0 14 0.0045 0 15 0.0005 
20,14,89.184,10 0 8.0031 11 0 7.5243 9 0 7.5198 8 0 7.4505 12 0 7.3378 7 0 6.4497 13 0 6.3799 6 0 6.1305 14 0 5.431 5 0 5.0327 4 0 4.6078 15 0 4.2145 3 0 3.5971 16 0 2.9449 0 2 2.6408 2 0 2.1468 0 3 1.941 17 0 1.8846 0 4 1.6247 0 1 1.4498 0 5 1.1157 1 0 1.036 18 0 0.9796 0 6 0.8518 0 7 0.5129 19 0 0.4095 0 8 0.3402 0 9 0.178 20 0 0.1019 0 10 0.1001 0 11 0.04 0 12 0.016 0 13 0.0028 0 14 0.0008 
20,13,92.0601,11 0 8.2699 10 0 7.8805 12 0 7.7873 9 0 7.7688 13 0 7.5385 8 0 6.765 14 0 6.3653 7 0 6.3563 15 0 5.2407 6 0 5.2162 5 0 4.7769 16 0 3.881 4 0 3.6908 3 0 3.2035 17 0 2.5231 0 2 1.9651 2 0 1.7701 0 3 1.6385 18 0 1.4365 0 1 1.1615 0 4 1.1075 0 5 0.836 1 0 0.8307 19 0 0.5908 0 6 0.5405 0 7 0.3447 0 8 0.1869 20 0 0.1662 0 9 0.0993 0 10 0.0393 0 11 0.0146 0 12 0.004 0 13 0.0007 
20,12,94.3319,12 0 8.6497 11 0 8.281 10 0 8.155 13 0 8.087 14 0 7.6284 9 0 7.1412 8 0 6.6752 15 0 6.3199 7 0 5.4327 16 0 4.9733 6 0 4.8562 5 0 3.754 17 0 3.4234 4 0 3.3041 3 0 2.4123 18 0 1.9626 0 2 1.6027 2 0 1.4024 0 3 1.1081 19 0 0.9506 0 1 0.9323 0 4 0.8406 1 0 0.6586 0 5 0.5084 0 6 0.3404 20 0 0.2623 0 7 0.1774 0 8 0.0975 0 9 0.0394 0 10 0.0149 0 11 0.0041 0 12 0.0011 
20,11,96.201,13 0 9.1169 12 0 8.7215 11 0 8.6498 14 0 8.4136 15 0 7.6275 10 0 7.4478 9 0 7.0398 16 0 6.1789 8 0 5.6898 7 0 5.0357 17 0 4.5148 6 0 3.8356 5 0 3.293 18 0 2.8497 4 0 2.4151 3 0 2.0112 19 0 1.3341 0 2 1.1152 2 0 1.0772 0 3 0.8253 0 1 0.6764 0 4 0.5002 1 0 0.4856 20 0 0.4614 0 5 0.3469 0 6 0.1771 0 7 0.0981 0 8 0.0385 0 9 0.0153 0 10 0.0039 0 11 0.001 
20,10,97.4772,14 0 9.5624 13 0 9.224 12 0 9.2167 15 0 8.6155 11 0 7.9528 16 0 7.6836 10 0 7.4231 17 0 5.898 9 0 5.8784 8 0 5.257 18 0 3.9406 7 0 3.8881 6 0 3.3037 5 0 2.3768 19 0 2.1095 4 0 1.97 3 0 1.3547 0 2 0.8158 2 0 0.7641 20 0 0.6992 0 3 0.5196 0 1 0.5014 1 0 0.357 0 4 0.3439 0 5 0.178 0 6 0.1018 0 7 0.0421 0 8 0.0149 0 9 0.0038 0 10 0.0005 
20,9,98.4716,15 0 10.0953 14 0 9.9394 13 0 9.7664 16 0 9.0488 12 0 8.4661 11 0 7.7514 17 0 7.5279 10 0 6.185 18 0 5.419 9 0 5.3686 8 0 3.9007 7 0 3.3367 19 0 3.0129 6 0 2.3529 5 0 1.9206 4 0 1.3347 20 0 1.2612 3 0 1.0211 2 0 0.5273 0 2 0.5246 0 3 0.3461 0 1 0.3177 1 0 0.2336 0 4 0.1781 0 5 0.0992 0 6 0.0402 0 7 0.017 0 8 0.0042 0 9 0.0004 
20,8,99.1007,16 0 10.7231 15 0 10.6629 14 0 10.6188 17 0 9.2941 13 0 9.0946 12 0 8.3431 18 0 7.2664 11 0 6.436 10 0 5.5718 19 0 4.5203 9 0 4 8 0 3.3354 7 0 2.2776 20 0 1.9253 6 0 1.8441 5 0 1.1887 4 0 0.9255 3 0 0.5908 0 2 0.349 2 0 0.3296 0 1 0.212 0 3 0.1788 1 0 0.1506 0 4 0.0981 0 5 0.042 0 6 0.0156 0 7 0.0029 0 8 0.0001 
20,7,99.5662,16 0 11.6349 15 0 11.5975 17 0 11.401 14 0 9.8162 18 0 9.5356 13 0 8.9191 12 0 6.7994 19 0 6.3157 11 0 5.7688 10 0 4.0641 20 0 3.3561 9 0 3.2767 8 0 2.2049 7 0 1.729 6 0 1.097 5 0 0.8461 4 0 0.5307 3 0 0.3976 2 0 0.193 0 2 0.1702 0 1 0.113 0 3 0.0929 1 0 0.0808 0 4 0.0381 0 5 0.0135 0 6 0.0046 0 7 0.0008 
20,6,99.7778,16 0 12.9163 17 0 12.9027 18 0 12.299 15 0 10.8269 14 0 9.6306 19 0 9.1985 13 0 7.1614 12 0 5.9587 20 0 5.0951 11 0 4.0256 10 0 3.2241 9 0 2.096 8 0 1.5995 7 0 0.9903 6 0 0.7452 5 0 0.4406 4 0 0.3277 3 0 0.1924 2 0 0.0984 0 2 0.0933 0 1 0.0673 1 0 0.0468 0 3 0.0417 0 4 0.0147 0 5 0.0038 0 6 0.0008 
20,5,99.9154,18 0 14.7407 17 0 14.5811 19 0 12.3644 16 0 12.0994 15 0 10.6089 20 0 9.085 14 0 7.5433 13 0 6.0806 12 0 4.0172 11 0 3.0666 10 0 1.8974 9 0 1.443 8 0 0.8415 7 0 0.6253 6 0 0.357 5 0 0.2516 4 0 0.1446 3 0 0.1012 2 0 0.0449 0 2 0.0379 0 1 0.0263 1 0 0.0197 0 3 0.0154 0 4 0.0042 0 5 0.0003 
20,4,99.9691,18 0 17.9357 19 0 16.5146 17 0 14.0038 20 0 13.791 16 0 11.9554 15 0 8.0028 14 0 6.3135 13 0 3.8695 12 0 2.8711 11 0 1.6724 10 0 1.2124 9 0 0.6801 8 0 0.4737 7 0 0.2627 6 0 0.1753 5 0 0.1042 4 0 0.0671 3 0 0.0354 2 0 0.0188 0 2 0.017 0 1 0.0107 1 0 0.0076 0 3 0.0023 0 4 0.0005 
20,3,99.9924,20 0 24.5453 19 0 20.832 18 0 17.4489 17 0 13.2123 16 0 8.4962 15 0 6.0897 14 0 3.4921 13 0 2.4281 12 0 1.3357 11 0 0.893 10 0 0.4688 9 0 0.3317 8 0 0.1687 7 0 0.111 6 0 0.0583 5 0 0.0397 4 0 0.0194 3 0 0.0125 2 0 0.0046 0 2 0.0045 1 0 0.0024 0 1 0.0021 0 3 0.0007 
20,2,99.9991,20 0 37.1512 19 0 22.1433 18 0 18.4076 17 0 9.0572 16 0 6.2646 15 0 2.9525 14 0 1.9247 13 0 0.8974 12 0 0.5765 11 0 0.2724 10 0 0.1736 9 0 0.0761 8 0 0.052 7 0 0.0223 6 0 0.0131 5 0 0.0065 4 0 0.0034 3 0 0.0014 2 0 0.0011 0 1 0.0005 1 0 0.0002 0 2 0.0002 
20,1,100,20 0 65.975 19 0 22.4254 18 0 7.6386 17 0 2.6312 16 0 0.8796 15 0 0.2985 14 0 0.0983 13 0 0.0335 12 0 0.0127 11 0 0.0039 10 0 0.0012 9 0 0.0007 8 0 0.0001 
19,25,32.5047,0 6 5.4993 0 8 5.3504 0 4 5.3218 0 5 5.1069 0 7 5.0939 3 0 4.94 0 2 4.8514 0 3 4.7568 0 9 4.6915 0 10 4.6848 4 0 4.6492 5 0 4.0628 0 11 3.9316 0 12 3.7538 6 0 3.5037 2 0 3.3511 0 13 2.9928 7 0 2.8822 0 14 2.669 0 1 2.3983 8 0 2.2876 0 15 1.9479 9 0 1.7436 1 0 1.7214 0 16 1.6065 10 0 1.2762 0 17 1.063 11 0 0.8772 0 18 0.7936 12 0 0.5501 0 19 0.4585 13 0 0.3341 0 20 0.2894 14 0 0.1832 0 21 0.1329 15 0 0.0881 0 22 0.0673 16 0 0.0361 0 23 0.0238 17 0 0.0131 0 24 0.007 18 0 0.0025 19 0 0.0006 0 25 0.0006 
19,24,37.2228,3 0 5.553 0 5 5.5293 0 3 5.3739 0 7 5.3547 0 4 5.0883 0 6 5.0449 4 0 4.9765 0 2 4.7512 0 8 4.7087 0 9 4.6746 5 0 4.6242 0 10 3.9605 6 0 3.9584 0 11 3.7616 2 0 3.6876 7 0 3.4108 0 12 2.9681 8 0 2.7128 0 13 2.6741 0 1 2.5235 9 0 2.1434 0 14 1.9335 1 0 1.7861 0 15 1.6026 10 0 1.6003 11 0 1.1327 0 16 1.0577 0 17 0.7689 12 0 0.7382 0 18 0.4551 13 0 0.4468 0 19 0.2921 14 0 0.2524 0 20 0.1399 15 0 0.1202 0 21 0.0782 16 0 0.0555 0 22 0.0259 17 0 0.0168 0 23 0.0064 18 0 0.005 0 24 0.0011 19 0 0.0002 
19,23,41.8516,3 0 5.6295 4 0 5.6026 0 4 5.482 0 2 5.3224 0 6 5.2912 0 5 5.1366 0 3 5.0958 5 0 5.0243 0 8 4.7175 0 7 4.6733 6 0 4.5965 0 9 3.9764 7 0 3.886 0 10 3.7705 2 0 3.7531 8 0 3.2681 0 11 3.0004 0 1 2.6839 0 12 2.6377 9 0 2.594 10 0 1.9709 1 0 1.9241 0 13 1.9213 0 14 1.5882 11 0 1.4113 0 15 1.0755 12 0 0.9603 0 16 0.7866 13 0 0.5963 0 17 0.4538 14 0 0.3459 0 18 0.2898 15 0 0.1761 0 19 0.1421 16 0 0.0727 0 20 0.0671 17 0 0.0297 0 21 0.0248 0 22 0.0078 18 0 0.0072 0 23 0.0014 19 0 0.0011 
19,22,47.2038,3 0 6.1621 4 0 5.7594 5 0 5.6452 0 3 5.5386 0 5 5.2881 0 4 5.0896 0 2 5.0671 6 0 5.0194 0 7 4.7222 0 6 4.6519 7 0 4.5375 2 0 4.0425 0 8 3.9601 8 0 3.7936 0 9 3.7218 9 0 3.1238 0 10 2.9549 0 1 2.7434 0 11 2.6665 10 0 2.4156 1 0 1.9575 0 12 1.9495 11 0 1.8141 0 13 1.5882 12 0 1.2586 0 14 1.0647 13 0 0.7994 0 15 0.7849 0 16 0.4619 14 0 0.4568 0 17 0.295 15 0 0.2415 0 18 0.1402 16 0 0.1175 0 19 0.0707 17 0 0.0431 0 20 0.0258 18 0 0.013 0 21 0.0077 19 0 0.0013 0 22 0.0012 
